word,polarity
増加,positive
成長,positive
拡大,positive
堅調,positive
好調,positive
回復,positive
改善,positive
上昇,positive
上方修正,positive
増益,positive
増収,positive
黒字,positive
最高益,positive
最高値,positive
過去最高,positive
上方,positive
強気,positive
高水準,positive
増配,positive
達成,positive
好材料,positive
拡充,positive
加速,positive
躍進,positive
順調,positive
堅実,positive
力強い,positive
追い風,positive
追風,positive
伸長,positive
伸び,positive
好結果,positive
上振れ,positive
活発,positive
旺盛,positive
優良,positive
優位,positive
優位性,positive
信頼,positive
安定,positive
勝ち,positive
勝利,positive
成功,positive
発展,positive
減少,negative
減益,negative
減収,negative
赤字,negative
悪化,negative
低迷,negative
下落,negative
下方修正,negative
破綻,negative
破産,negative
倒産,negative
不振,negative
懸念,negative
危機,negative
信用不安,negative
信用収縮,negative
デフォルト,negative
貸倒,negative
貸倒引当,negative
ノンアクルーアル,negative
ノン・アクルーアル,negative
不良債権,negative
損失,negative
損害,negative
打撃,negative
下方,negative
弱気,negative
低水準,negative
減配,negative
延期,negative
減額,negative
撤退,negative
停止,negative
縮小,negative
解任,negative
訴訟,negative
違反,negative
制裁,negative
処分,negative
警告,negative
停滞,negative
悪材料,negative
下振れ,negative
悲観,negative
警戒,negative
逆風,negative
鈍化,negative
遅延,negative
遅れ,negative
失敗,negative
敗北,negative
低下,negative
急落,negative
暴落,negative
急減,negative
崩壊,negative
混乱,negative
苦境,negative
不透明,negative
不確実,negative
不確定,negative
リスク,negative
警戒感,negative
見通し,uncertainty
変動,uncertainty
ボラティリティ,uncertainty
様子見,uncertainty
検討,uncertainty
見直し,uncertainty
再検討,uncertainty
想定,uncertainty
予想,uncertainty
見込み,uncertainty
保留,uncertainty
未定,uncertainty
延期検討,uncertainty
コベナンツライト,negative
コベナンツ・ライト,negative
スプレッド拡大,negative
スプレッド縮小,positive
回収率低下,negative
回収率上昇,positive
デフォルト率上昇,negative
デフォルト率低下,positive
配当カバレッジ改善,positive
配当カバレッジ悪化,negative
NAV上昇,positive
NAV低下,negative
過熱,negative
膨張,negative
バブル,negative
歪み,negative
ずさん,negative
杜撰,negative
問題,negative
課題,negative
批判,negative
疑問,negative
指摘,negative
脆弱,negative
脆い,negative
もろい,negative
危うい,negative
限界,negative
行き詰まり,negative
行き詰まる,negative
破裂,negative
焦げ付き,negative
焦げ付く,negative
毀損,negative
規律,negative
規律欠如,negative
透明性,negative
情報開示,negative
不十分,negative
甘い,negative
甘さ,negative
緩い,negative
緩さ,negative
緩和しすぎ,negative
安易,negative
乱脈,negative
野放し,negative
放漫,negative
暴走,negative
急膨張,negative
急拡大,negative
無秩序,negative
混沌,negative
不健全,negative
過剰,negative
偏重,negative
集中リスク,negative
流動性リスク,negative
流動性不足,negative
流動性懸念,negative
流動性低い,negative
換金性,negative
資金繰り,negative
資金流出,negative
解約,negative
解約請求,negative
解約制限,negative
ゲート条項,negative
ロックアップ,negative
償還停止,negative
償還制限,negative
評価損,negative
含み損,negative
時価下落,negative
利益相反,negative
手数料,negative
高コスト,negative
コスト高,negative
不当,negative
搾取,negative
犠牲,negative
被害,negative
困難,negative
深刻,negative
悪影響,negative
副作用,negative
弊害,negative
落とし穴,negative
罠,negative
危険性,negative
危険,negative
有害,negative
蔓延,negative
問題視,negative
注意,negative
注意喚起,negative
警鐘,negative
波及,negative
連鎖,negative
飛び火,negative
伝播,negative
システミック,negative
影響懸念,negative
波乱,negative
試される,negative
狼煙,negative
亡霊,negative
漂う,negative
懸念される,negative
指摘される,negative
削減,negative
抑制,negative
ストレス,negative
圧迫,negative
圧力,negative
下押し,negative
足かせ,negative
重荷,negative
重し,negative
困窮,negative
窮地,negative
苦戦,negative
苦しい,negative
厳しい,negative
後退,negative
減退,negative
衰退,negative
萎縮,negative
金融危機,negative
市場混乱,negative
相場急落,negative
売り圧力,negative
売り越し,negative
投げ売り,negative
元本割れ,negative
評価減,negative
返済,negative
延滞,negative
取り立て,negative
見送り,negative
見合わせ,negative
先送り,negative
空売り,negative
ショート,negative
監視,negative
監視強化,negative
提言,negative
勧告,negative
要請,negative
是正,negative
冷ややか,negative
冷え込み,negative
冷え込む,negative
冷淡,negative
取り付け騒ぎ,negative
引き出し制限,negative
償還請求,negative
正念場,negative
苦渋,negative
緊張,negative
亀裂,negative
不穏,negative
不安,negative
精査,negative
厳格化,negative
引き締め,negative
実態調査,negative
実態把握,negative
引き下げ,negative
格下げ,negative
安値,negative
足止め,negative
矛盾,negative
急増,negative
殺到,negative
試験台,negative
不向き,negative
不適格,negative
不適切,negative
動向注視,negative
注視,negative
じわり,negative
ゴキブリ,negative
炭鉱のカナリア,negative
反応冷ややか,negative
火種,negative
火薬庫,negative
暗雲,negative
曇り,negative
揺れる,negative
揺らぐ,negative
綻び,negative
ほころび,negative
激震,negative
衝撃,negative
壊滅,negative
痛手,negative
瀬戸際,negative
危篤,negative
限界露呈,negative
規制当局,negative
当局,negative
閉鎖,negative
大幅続伸,positive
大幅高,positive
急騰,positive
大幅上昇,positive
好決算,positive
業績好調,positive
記録的,positive
最高記録,positive
高利回り,positive
高配当,positive
堅調推移,positive
